,Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
136,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
138,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
178,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
183,2013-01-01,,2.0,,0.0,0.0,0.0,a,1.0,,,,,,,,,
198,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,,,,,,,,,,
202,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
208,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
233,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
239,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
275,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
301,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
304,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
322,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
342,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
387,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
439,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
494,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
532,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
655,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
658,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
660,2013-01-01,,2.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,
897,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
1005,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
1014,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
1058,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
1062,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,,,,,,,,,,
1097,2013-01-01,,2.0,0.0,0.0,0.0,0.0,a,1.0,,,,,,,,,
1191,2013-01-02,,3.0,2854.0,263.0,1.0,0.0,0,1.0,,,,,,,,,
1221,2013-01-02,,3.0,11044.0,888.0,1.0,0.0,0,1.0,,,,,,,,,
1226,2013-01-02,,3.0,3497.0,284.0,1.0,0.0,0,1.0,,,,,,,,,
1281,2013-01-02,,3.0,3663.0,283.0,1.0,0.0,0,1.0,,,,,,,,,
1284,2013-01-02,,3.0,7426.0,840.0,1.0,0.0,0,1.0,,,,,,,,,
1322,2013-01-02,,3.0,3514.0,319.0,1.0,,0,1.0,,,,,,,,,
1331,2013-01-02,,3.0,5351.0,623.0,1.0,0.0,0,1.0,,,,,,,,,
1385,2013-01-02,,3.0,13067.0,1673.0,1.0,0.0,0,1.0,,,,,,,,,
1429,2013-01-02,,3.0,2950.0,344.0,1.0,0.0,0,1.0,,,,,,,,,
1434,2013-01-02,,3.0,3501.0,551.0,1.0,0.0,0,1.0,,,,,,,,,
1455,2013-01-02,,3.0,5525.0,432.0,1.0,0.0,0,1.0,,,,,,,,,
1474,2013-01-02,,3.0,5143.0,664.0,1.0,0.0,0,1.0,,,,,,,,,
1551,2013-01-02,,,5244.0,563.0,1.0,,0,1.0,,,,,,,,,
1614,2013-01-02,,3.0,8068.0,496.0,1.0,0.0,0,1.0,,,,,,,,,
1625,2013-01-02,,3.0,8369.0,913.0,1.0,0.0,,1.0,,,,,,,,,
1631,2013-01-02,,3.0,5421.0,678.0,,0.0,0,1.0,,,,,,,,,
1662,2013-01-02,,3.0,4794.0,662.0,1.0,0.0,0,1.0,,,,,,,,,
1675,2013-01-02,,3.0,6913.0,1002.0,1.0,0.0,0,1.0,,,,,,,,,
1744,2013-01-02,,3.0,3815.0,399.0,1.0,0.0,0,1.0,,,,,,,,,
1793,2013-01-02,,3.0,6653.0,713.0,1.0,0.0,0,1.0,,,,,,,,,
1808,2013-01-02,,3.0,4011.0,666.0,1.0,0.0,0,,,,,,,,,,
1822,2013-01-02,,3.0,6375.0,888.0,1.0,0.0,0,1.0,,,,,,,,,
1905,2013-01-02,,3.0,7049.0,900.0,1.0,0.0,0,1.0,,,,,,,,,
1916,2013-01-02,,3.0,12407.0,1504.0,1.0,0.0,0,1.0,,,,,,,,,
1954,2013-01-02,,3.0,5279.0,773.0,1.0,0.0,0,1.0,,,,,,,,,
2002,2013-01-02,,3.0,,1068.0,1.0,0.0,0,1.0,,,,,,,,,
2061,2013-01-02,,3.0,6671.0,628.0,1.0,0.0,0,1.0,,,,,,,,,
2071,2013-01-02,,3.0,3540.0,488.0,1.0,0.0,0,,,,,,,,,,
2084,2013-01-02,,3.0,7654.0,584.0,1.0,0.0,0,1.0,,,,,,,,,
